Position,Name,Bib,Time,Net Time,Category,Category Position,Gender,Gender Position,col10
223,MARK CHAMBERLAIN,0055,04:02:49,04:01:54,VM50-59,20,M,197,view
224,ROBYN DUNCAN,0089,04:02:54,04:02:24,VW50-59,3,F,27,view
225,DONALD GUNN,0129,04:03:39,04:03:34,VM50-59,21,M,198,view
226,TOMMY STUNZ,0306,04:04:26,04:02:18,VM40-49,58,M,199,view
227,PAUL BOTHA,0031,04:04:35,04:03:44,M20-39,113,M,200,view
228,MARIUS OGG,0233,04:04:39,04:03:40,M20-39,114,M,201,view
229,KEVIN HUNT,0160,04:04:49,04:03:24,VM50-59,22,M,202,view
230,GOH RONNIE,0274,04:04:52,04:03:04,VM40-49,59,M,203,view
231,CHARLIE MCNALLY,0209,04:05:04,04:04:24,VM40-49,60,M,204,view
232,HAYLEY FLETT,0104,04:05:36,04:03:41,W20-39,18,F,28,view
233,CHERIE RICHARDSON,0262,04:05:48,04:02:51,W20-39,19,F,29,view
234,SATYAM SANDHU,0277,04:05:48,04:03:19,M20-39,115,M,205,view
235,SHUICHI SUETANI,0307,04:06:02,04:05:27,M20-39,116,M,206,view
236,JAMES GRANT,0125,04:06:13,04:04:07,M20-39,117,M,207,view
237,ROBERT GOODMAN,0121,04:06:48,04:04:48,M20-39,118,M,208,view
238,JEANETTE WHITE,0337,04:06:50,04:05:59,W20-39,20,F,30,view
239,XANTHE JOHNSTON,0171,04:06:58,04:04:52,W20-39,21,F,31,view
240,RICHARD MALLOCH,0196,04:07:07,04:05:27,VM40-49,61,M,209,view
241,JOANNE MILLER,0213,04:07:10,04:06:37,W20-39,22,F,32,view
242,TONY BOOTH,0030,04:07:52,04:07:17,M20-39,119,M,210,view
243,LUCY STEWART,0299,04:08:23,04:07:33,W20-39,23,F,33,view
244,LEEANNE TOWLER,0319,04:08:40,04:07:10,VW40-49,8,F,34,view
245,SANDRA SMITH,0293,04:08:42,04:06:56,VW40-49,9,F,35,view
246,KURT FRAUENSTEIN,0109,04:08:48,04:08:36,VM40-49,62,M,211,view
247,VIVIANA VUMBACA,0324,04:09:15,04:07:14,W20-39,24,F,36,view
248,MICHELLE HANSEN,0136,04:09:32,04:07:44,W20-39,25,F,37,view
249,MARGARET HAZELWOOD,0144,04:10:19,04:08:50,VW60-69,1,F,38,view
250,ADIELLA WHITE,0336,04:10:48,04:08:46,W20-39,26,F,39,view
251,SAMUEL MCMAHON,0208,04:11:41,04:11:19,M20-39,120,M,212,view
252,MARGAUX HLAVAC,0360,04:12:59,04:11:02,VW40-49,10,F,40,view
253,LANA SHACKLETON,0284,04:13:07,04:11:00,W20-39,27,F,41,view
254,ROD CARR,0049,04:13:09,04:10:51,VM50-59,23,M,213,view
255,JOHN CATMUR,0050,04:13:14,04:12:18,M20-39,121,M,214,view
256,GARY JAMES,0167,04:13:27,04:11:13,VM60-69,5,M,215,view
257,LISA OWEN,0236,04:13:31,04:10:55,W20-39,28,F,42,view
258,CALEB FERGUSON,0099,04:14:18,04:12:01,M20-39,122,M,216,view
259,MIKE BARNETT,0019,04:14:24,04:13:52,VM60-69,6,M,217,view
260,LINDSAY PHILPS,0247,04:14:24,04:12:17,VM50-59,24,M,218,view
261,ZHAINE NORTHCOTT,0228,04:14:25,04:13:32,M20-39,123,M,219,view
262,SHAUN O'BRIEN,0231,04:15:05,04:12:41,VM40-49,63,M,220,view
263,BRETT ROBINSON,0270,04:16:24,04:14:58,VM40-49,64,M,221,view
264,BILL RICHARDSON,0261,04:16:53,04:16:19,VM60-69,7,M,222,view
265,ADRIAN CHRISTIE,0059,04:17:00,04:15:53,M20-39,124,M,223,view
266,FEE KENNING,0176,04:17:14,04:14:44,W20-39,29,F,43,view
267,GLENN BURT,0043,04:17:57,04:15:25,VM40-49,65,M,224,view
268,PAUL BURT,0044,04:17:57,04:15:25,M20-39,125,M,225,view
269,TOMMY PYATT,0394,04:18:32,04:16:59,M20-39,126,M,226,view
270,PHIL WILES,0341,04:18:55,04:16:51,M20-39,127,M,227,view
271,SIMON POPHAM,0249,04:19:09,04:18:16,M20-39,128,M,228,view
272,ALLISTER MACGREGOR,0194,04:20:13,04:17:46,VM60-69,8,M,229,view
273,RICHARD JACK,0166,04:20:32,04:18:43,VM40-49,66,M,230,view
274,TONY BOON,0029,04:21:19,04:19:57,M20-39,129,M,231,view
275,CALLUM HATTON,0396,04:21:26,04:21:00,M20-39,130,M,232,view
276,BRONWYN MCKEAGE,0205,04:22:04,04:21:58,W20-39,30,F,44,view
277,ERIN SELLMAN,0281,04:22:25,04:18:55,W20-39,31,F,45,view
278,STEVEN PORTER,0250,04:22:25,04:21:32,M20-39,131,M,233,view
279,TIMOTHY BUTLER,0045,04:22:38,04:21:27,VM40-49,67,M,234,view
280,GANESH NANA,0222,04:22:45,04:20:43,VM50-59,25,M,235,view
281,ATSUSHI HAYASAKA,0142,04:22:46,04:19:55,VM50-59,26,M,236,view
282,JON MITCHELL,0215,04:22:54,04:22:38,VM40-49,68,M,237,view
283,SAM FASTIER,0391,04:23:04,04:21:46,M20-39,132,M,238,view
284,BILL HODGE,0152,04:23:08,04:22:51,VM70+,1,M,239,view
285,WALLY CRIBB,0073,04:24:40,04:22:13,VM50-59,27,M,240,view
286,ANDREW ELCOCK,0116,04:24:49,04:22:39,M20-39,133,M,241,view
287,NICK HYATT,0162,04:26:46,04:24:45,M20-39,134,M,242,view
288,SHERRY MCKINNON,0206,04:27:04,04:25:45,VW40-49,11,F,46,view
289,ROBYN BLYTH,0027,04:27:09,04:25:44,W20-39,32,F,47,view
290,DAMIAN BROWN,0038,04:28:02,04:25:46,M20-39,135,M,243,view
291,MICHAEL WASHINGTON,0332,04:28:02,04:25:46,M20-39,136,M,244,view
292,PHIL GRAY,0371,04:28:13,04:25:21,VM50-59,28,M,245,view
293,VIV GRAY,0126,04:28:13,04:25:21,VW40-49,12,F,48,view
294,SAM STEWART,0301,04:28:15,04:27:14,M20-39,137,M,246,view
295,NOBUO IWAKI,0165,04:28:17,04:26:53,VM40-49,69,M,247,view
296,MARK ATKINSON,0016,04:28:22,04:25:39,M20-39,138,M,248,view
297,MARC-ANDRE DION,0081,04:28:23,04:27:19,M20-39,139,M,249,view
298,CHRISTINA RIDDELL,0263,04:28:28,04:26:04,VW50-59,4,F,49,view
299,DAVID GREY,0087,04:28:30,04:26:39,VM40-49,70,M,250,view
300,JENNY FILDES,0101,04:28:32,04:26:48,W20-39,33,F,50,view
301,RACHAEL WILSON,0343,04:28:34,04:26:04,W12-19,1,F,51,view
302,RUTH JEFFERY,0169,04:29:26,04:26:58,VW40-49,13,F,52,view
303,STEPHEN LUKEY,0400,04:30:08,04:27:35,VM40-49,71,M,251,view
304,ANDREW EBERHARD,0092,04:30:19,04:27:23,M20-39,140,M,252,view
305,SOPHIE SMITH,0294,04:30:59,04:28:10,W20-39,34,F,53,view
306,E LUKE LUK,0192,04:32:10,04:30:44,M20-39,141,M,253,view
307,HIROMASA YOSHIMURA,0348,04:32:45,04:28:01,VM40-49,72,M,254,view
308,TRAVIS HAYMES,0143,04:33:02,04:32:36,M20-39,142,M,255,view
309,JON SCOTT,0280,04:34:40,04:32:06,VM40-49,73,M,256,view
310,EMILY OLIVER,0355,04:35:20,04:32:22,W20-39,35,F,54,view
311,AVRIL THRESH,0316,04:35:29,04:32:21,VW40-49,14,F,55,view
312,MORRIS HALL,0133,04:35:41,04:33:59,VM60-69,9,M,257,view
313,MALCOLM SEWELL,0241,04:35:58,04:34:15,VM50-59,29,M,258,view
314,STEPHEN JARVIS,0168,04:36:52,04:33:54,VM50-59,30,M,259,view
315,PETER THOMSON,0314,04:37:03,04:34:39,VM40-49,74,M,260,view
316,DAVID COOPER,0068,04:37:03,04:35:55,M20-39,143,M,261,view
317,GARY REGTIEN,0258,04:37:34,04:34:32,VM70+,2,M,262,view
318,LAURA SELLERS,0362,04:37:45,04:34:21,W20-39,36,F,56,view
319,CATRIONA HOWES,0158,04:37:45,04:34:21,W20-39,37,F,57,view
320,KARL NUKU,0229,04:38:05,04:34:56,M20-39,144,M,263,view
321,GRAHAM DOCKRILL,0083,04:38:36,04:36:19,M20-39,145,M,264,view
322,SHANNON LIM,0188,04:38:52,04:36:03,W20-39,38,F,58,view
323,DANIEL DE ROSE,0079,04:39:38,04:37:59,M20-39,146,M,265,view
324,JANICE MCCORKINDALE,0287,04:40:07,04:39:41,VW50-59,5,F,59,view
325,DON KERR,0372,04:40:59,04:38:35,VM50-59,31,M,266,view
326,ANTONIA LUTHI,0367,04:41:04,04:38:04,VW40-49,15,F,60,view
327,ERIN TOPP,0318,04:41:28,04:40:32,W20-39,39,F,61,view
328,NORMAN CHAN,0056,04:42:21,04:41:21,VM50-59,32,M,267,view
329,STEPHEN RIPLEY,0266,04:42:34,04:40:36,VM70+,3,M,268,view
330,CHI SHING HO,0151,04:43:46,04:43:41,VM50-59,33,M,269,view
331,PAUL WIELAND,0340,04:44:01,04:42:39,VM50-59,34,M,270,view
332,SCOTT PRITCHARD,0255,04:44:41,04:43:39,VM40-49,75,M,271,view
333,JOHN APLIN,0012,04:45:52,04:45:46,VM60-69,10,M,272,view
334,STEWART ALLEN,0007,04:46:07,04:43:09,VM40-49,76,M,273,view
335,SUZANNE MACKIE,0195,04:47:21,04:45:39,VW40-49,16,F,62,view
