Position,Name,Bib,Time,Nationality,Category,Category Position,Gender,Gender Position
254,BILLY BRIDLE,544,16:25:48,AUS,40-49,74,Male,195
255,SUSAN MCLACHLAN,55,16:29:17,NZL,40-49,25,Female,59
256,ALLAN YEOMAN,357,16:29:39,NZL,40-49,75,Male,196
257,GREG BERGIN,532,16:29:42,AUS,30-39,68,Male,197
258,PAULA WARD,86,16:33:46,NZL,40-49,26,Female,60
259,BRENDAN HICKMAN,418,16:34:05,NZL,30-39,69,Male,198
260,ANTHONY OSWALD,423,16:34:05,NZL,30-39,70,Male,199
261,WEI CHEN,229,16:35:17,CHN,30-39,71,Male,200
262,ELLEN BRAYBON,11,16:39:53,AUS,30-39,18,Female,61
263,RALPH SCHROFF,431,16:39:53,NZL,50-59,21,Male,201
264,JO HYSLOP,827,16:39:53,AUS,20-29,8,Female,62
265,LINDSAY HYSLOP,178,16:39:53,NZL,60-69,6,Male,202
266,SIMON FORSEY,7,16:40:34,NZL,40-49,76,Male,203
267,GENE ANDREWS,2,16:40:47,NZL,30-39,72,Male,204
268,JASON AMOROA,227,16:42:17,NZL,40-49,77,Male,205
269,JOANNE SIMPSON,341,16:42:23,AUS,40-49,27,Female,63
270,PETER FLUHLER,1237,16:43:23,NZL,50-59,22,Male,206
271,NICKY REDL,519,16:43:42,AUS,30-39,19,Female,64
272,PATRICK HANNA,19,16:47:51,SNG,40-49,78,Male,207
273,HAYDEN FREETH,194,16:48:09,NZL,30-39,73,Male,208
274,DANIELLE FORBES,146,16:50:54,NZL,30-39,20,Female,65
275,PETER ROBINSON,513,16:51:25,AUS,30-39,74,Male,209
276,DEN FINNERAN,144,16:51:35,AUS,40-49,79,Male,210
277,MATTHEW WADDELL,43,16:51:35,AUS,40-49,80,Male,211
278,CHRISTIAN CARMAGNOLLE,496,16:51:45,FRP,60-69,7,Male,212
279,ARNAUD ROUAIX,463,16:51:46,FRP,20-29,30,Male,213
280,KWOK KAY CHAN,404,16:52:35,HKG,50-59,23,Male,214
281,TOM VANSTONE,540,16:53:12,NZL,50-59,24,Male,215
282,WILLIAM  DONEY,401,16:53:17,NZL,30-39,75,Male,216
283,TIM STONE,119,16:53:54,AUS,50-59,25,Male,217
284,JAKE JACOBS,1197,16:54:06,NZL,50-59,26,Male,218
285,MEAD NORTON,243,16:54:52,NZL,40-49,81,Male,219
286,JO THROP,48,16:55:59,NZL,40-49,28,Female,66
287,AKIRA  KONUMA,500,16:56:06,AUS,40-49,82,Male,220
288,MATT CHAPMAN,130,16:58:40,NZL,20-29,31,Male,221
289,ANDREW RODGER,287,16:59:53,NZL,50-59,27,Male,222
290,YOICHI  KAZAMA,314,17:01:02,JPN,40-49,83,Male,223
291,PAKANEE BURUTPHAKDEE,550,17:02:42,THI,30-39,21,Female,67
292,MGCINI MASUKU,116,17:04:57,NZL,40-49,84,Male,224
293,PING YEE WONG,440,17:09:00,HKG,40-49,29,Female,68
294,LISA BRENTNALL,79,17:10:20,AUS,40-49,30,Female,69
295,MICHAEL HINDLEY,31,17:12:21,AUS,30-39,76,Male,225
296,ADRIAN  WHATMORE,248,17:12:35,AUS,40-49,85,Male,226
297,SCOTT BLACK,391,17:36:38,AUS,40-49,86,Male,227
298,ARLENE EMMANUELLE AGULTO,548,17:36:49,,30-39,22,Female,70
299,KAY WILLIAMSON,88,17:37:07,NZL,50-59,11,Female,71
300,KATHERINE GOOM,848,17:43:46,NZL,40-49,31,Female,72
301,TOM POLAND,148,17:44:34,NZL,20-29,32,Male,228
302,CRAIG CLARK,517,17:44:44,NZL,40-49,87,Male,229
303,DENIS CHEW,487,17:47:46,AUS,50-59,28,Male,230
304,JADE SMITH,196,17:48:24,NZL,40-49,32,Female,73
305,PAULA KLEIN,1056,17:53:52,NZL,40-49,33,Female,74
306,KATHERINE SAMPLONIUS,272,17:57:41,NZL,40-49,34,Female,75
307,SIAWHUA LIM,22,17:58:59,MAL,40-49,35,Female,76
308,ALLAN WILLIAMSON,72,18:24:06,NZL,40-49,88,Male,231
309,JANINE HARRINGTON,59,18:24:06,NZL,40-49,36,Female,77
310,KIN KWOK FUNG,427,18:25:40,HKG,40-49,89,Male,232
311,ANDREW GOLDIE,350,18:30:43,NZL,40-49,90,Male,233
312,JASON HEDGES,599,18:41:04,AUS,30-39,77,Male,234
313,SEATON DWERRYHOUSE,477,18:48:59,NZL,30-39,78,Male,235
