Position,Name,Time,Category,Category Position
205th,Andrea Greenwood,1:58:44,F 11-34,24th
206th,Isabelle Pooley,1:58:45,F 11-34,25th
207th,Angela Bimler,1:58:47,F 40-44,6th
208th,George Gaffley,1:58:55,M 45-49,14th
209th,Richard Curtis,1:59:09,M 11-34,61st
210th,Jake Benson,1:59:14,M 11-34,62nd
211th,Euphemia Li,1:59:23,F 11-34,26th
212th,Jamie McEwan,1:59:28,M 35-39,21st
213th,Ali Thorpe,1:59:31,F 11-34,27th
214th,Kim Vandenbroek,1:59:31,F 11-34,28th
215th,Susan Farron,1:59:32,F 45-49,8th
216th,Mike Shaddick,1:59:35,M 40-44,22nd
217th,Lee Hukui,1:59:36,F 45-49,9th
218th,Jasen Martin,1:59:41,M 11-34,63rd
219th,Gregory Hawes,1:59:44,M 55-59,10th
220th,Brad Feek,1:59:45,M 11-34,64th
221st,James McDougall,1:59:49,M 11-34,65th
222nd,Eashwar Balasubramaniyan,1:59:50,M 45-49,15th
223rd,Justine Percival,2:00:00,F 45-49,10th
224th,Georgia Murray,2:00:00,F 11-34,29th
225th,Grant Farnworth,2:00:06,M 45-49,16th
226th,Zane Brookes,2:00:06,M 11-34,66th
227th,Nelson Tillman,2:00:07,M 11-34,67th
228th,Andrew Savage,2:00:07,M 11-34,68th
229th,Graeme Sharp,2:00:11,M 50-54,20th
230th,Doug Milton,2:00:16,M 50-54,21st
231st,Nicola Adamson,2:00:27,F 35-39,11th
232nd,Kris Austin,2:00:31,M 11-34,69th
233rd,Jiaze Han,2:00:32,M 11-34,70th
234th,Jon Voskuil,2:00:37,M 11-34,71st
235th,Travis Page,2:00:43,M 11-34,72nd
236th,Noni Shedlock,2:00:50,F 35-39,12th
237th,Jennie Lavis,2:00:52,F 35-39,13th
238th,Josh Collins,2:00:53,M 40-44,23rd
239th,Rayden Stewart,2:00:56,M 40-44,24th
240th,Lorna Daniels,2:01:06,F 11-34,30th
241st,Keegan Mitchell,2:01:17,M 11-34,73rd
242nd,Terence Comerford,2:01:17,M 55-59,11th
243rd,Stacey Swanson,2:01:20,F 11-34,31st
244th,Murray Goucher,2:01:22,M 55-59,12th
245th,Alastair Richards,2:01:24,M 45-49,17th
246th,Jason Schwarz,2:01:33,M 45-49,18th
247th,Marissa Van Eyk,2:01:42,F 11-34,32nd
248th,Simon Woodward,2:01:57,M 60-64,7th
249th,Alexander Larsen,2:02:03,M 11-34,74th
250th,Jo Collins,2:02:07,F 35-39,14th
251st,Denise Jackson,2:02:10,F 40-44,7th
252nd,Melanie Watt,2:02:25,F 45-49,11th
253rd,Kris Ford,2:02:30,F 40-44,8th
254th,Dylan Keane,2:02:30,M 11-34,75th
255th,Tim Sprott,2:02:39,M 55-59,13th
256th,Karen Evans,2:02:41,F 50-54,5th
257th,Ross Thomson,2:02:43,M 60-64,8th
258th,Michael Fillery,2:02:47,M 45-49,19th
259th,Vicky Way,2:03:02,F 11-34,33rd
260th,Huatahi Wilson,2:03:18,M 40-44,25th
261st,Aaron Goodson,2:03:24,M 45-49,20th
262nd,Mark Michel,2:03:31,M 40-44,26th
263rd,Kirsten Rodeka,2:03:33,F 40-44,9th
264th,Neil Orton,2:03:33,M 50-54,22nd
265th,Shannon Addison,2:03:35,F 35-39,15th
266th,Letitia Dean,2:03:55,F 11-34,34th
267th,Matthew Goldsack,2:03:58,M 40-44,27th
268th,John Ama,2:04:11,M 11-34,76th
269th,Stanton Kindley,2:04:18,M 11-34,77th
270th,Helen Ward,2:04:19,F 55-59,4th
271st,Richard Green,2:04:28,M 55-59,14th
272nd,Demi Matheson,2:04:30,F 11-34,35th
273rd,Teeri Hunia,2:04:37,M 35-39,22nd
274th,Steve Rossiter,2:04:38,M 50-54,23rd
275th,Garry Maskill,2:04:47,M 65-69,3rd
276th,Andrew Wood,2:04:47,M 35-39,23rd
277th,Sara Duggan,2:04:49,F 40-44,10th
278th,Joshua Kemp,2:04:50,M 11-34,78th
279th,Mavis Maxwell,2:05:09,F 65-69,2nd
280th,Malinda Meads,2:05:14,F 40-44,11th
281st,Jo Speary,2:05:22,F 60-64,1st
282nd,Antoinette Michels,2:05:22,F 35-39,16th
283rd,Tania Hill,2:05:26,F 11-34,36th
284th,Rose Greenfield,2:05:29,F 11-34,37th
285th,Sarah Edmonds,2:05:29,F 55-59,5th
286th,Samuel Martin,2:05:32,M 11-34,79th
287th,Megan Nicolson,2:05:34,F 11-34,38th
