Position,Name,Bib,Time,Category,Category Position,Gender,Gender Position,Run
64,SIGN JOHNSON,1128,27:25:18,30-39,7,Female,13,27:25:18
65,BEN ADAMS,1007,27:33:23,18-29,5,Male,52,27:33:23
66,STU MACLEAN,1159,27:34:40,40-49,25,Male,53,27:34:40
67,TIM MATHAS,1166,27:37:50,30-39,17,Male,54,27:37:50
68,SAM CLARK,1281,27:37:53,18-29,6,Male,55,27:37:53
69,SANDRA ASHWORTH,1014,27:40:41,40-49,4,Female,14,27:40:41
70,DAN HALL,1104,27:50:33,30-39,18,Male,56,27:50:33
71,ANDREW STANLEY,1230,27:50:48,50-59,8,Male,57,27:50:48
72,REBECCA BUTLER,1039,27:52:34,40-49,5,Female,15,27:52:34
73,ALESSANDRA MARTINES,1165,27:54:46,30-39,8,Female,16,27:54:46
74,PETER KINGSTON,1135,28:07:53,60-69,1,Male,58,28:07:53
75,RAFFAELE BARBINI,1019,28:13:35,30-39,19,Male,59,28:13:35
76,FRASER CAMPBELL,1045,28:24:46,18-29,7,Male,60,28:24:46
77,DOUGLAS KYLE,1142,28:34:19,30-39,20,Male,61,28:34:19
78,JODY DAFF,1067,28:34:23,40-49,6,Female,17,28:34:23
79,MEGAN SLESWICK,1225,28:38:16,40-49,7,Female,18,28:38:16
80,TRISH BENOIT,1026,28:47:39,40-49,8,Female,19,28:47:39
81,ERIC LUCAS,1284,28:49:48,50-59,9,Male,62,28:49:48
82,KATHERINE BARKER,1021,28:52:24,30-39,9,Female,20,28:52:24
83,EUGENE BINGHAM,1028,28:53:46,40-49,26,Male,63,28:53:46
84,MATTHEW MCARTHUR,1167,28:57:06,50-59,10,Male,64,28:57:06
85,EMMA BAINBRIDGE,1016,28:57:55,18-29,2,Female,21,28:57:55
86,DANIEL ANDERSON,1011,29:02:21,30-39,21,Male,65,29:02:21
87,KIYO FUJISHIRO,1097,29:02:41,40-49,27,Male,66,29:02:41
88,AMBER WOOD,1270,29:03:49,40-49,9,Female,22,29:03:49
89,DOUG KENEALY,1134,29:06:27,50-59,11,Male,67,29:06:27
